moneda,zona_url,ciudad,actividad,precio,opiniones,fuente,fecha_scan
CLP,https://www.civitatis.com/es/region-caribe/,Cartagena de Indias,Tour de Cartagena al completo con entradas,"38.094,12 CL$",378 opiniones,Civitatis,2025-12-30 19:26
CLP,https://www.civitatis.com/es/region-caribe/,Santa Marta,Excursión a Minca,"63.207,25 CL$",186 opiniones,Civitatis,2025-12-30 19:26
CLP,https://www.civitatis.com/es/region-caribe/,Cartagena de Indias,Free tour por el centro histórico y el barrio de Getsemaní,¡Gratis!,974 opiniones,Civitatis,2025-12-30 19:26
CLP,https://www.civitatis.com/es/region-caribe/,Cartagena de Indias,Excursión a Playa Blanca,"76.240,48 CL$",232 opiniones,Civitatis,2025-12-30 19:26
CLP,https://www.civitatis.com/es/region-caribe/,Cartagena de Indias,Excursión a las islas del Rosario para adultos,"67.554,04 CL$",21 opiniones,Civitatis,2025-12-30 19:26
CLP,https://www.civitatis.com/es/region-caribe/,Santa Marta,Free tour por Santa Marta,¡Gratis!,1.534 opiniones,Civitatis,2025-12-30 19:26
CLP,https://www.civitatis.com/es/region-caribe/,Cartagena de Indias,Tour en chiva rumbera por Cartagena + Fiesta en una discoteca,"14.365,28 CL$",184 opiniones,Civitatis,2025-12-30 19:26
CLP,https://www.civitatis.com/es/region-caribe/,Cartagena de Indias,Free tour por el Castillo de San Felipe de Barajas,¡Gratis!,123 opiniones,Civitatis,2025-12-30 19:26
CLP,https://www.civitatis.com/es/region-caribe/,Cartagena de Indias,Entrada a 51 Sky Bar,"15.671,22 CL$",12 opiniones,Civitatis,2025-12-30 19:26
CLP,https://www.civitatis.com/es/region-caribe/,Cartagena de Indias,Excursión a Islabela,"80.967,97 CL$",32 opiniones,Civitatis,2025-12-30 19:26
CLP,https://www.civitatis.com/es/region-caribe/,Cartagena de Indias,Free tour por el barrio de Getsemaní,¡Gratis!,1.252 opiniones,Civitatis,2025-12-30 19:26
CLP,https://www.civitatis.com/es/region-caribe/,Cartagena de Indias,Paseo en barco VIP al atardecer,"32.648,37 CL$",30 opiniones,Civitatis,2025-12-30 19:26
CLP,https://www.civitatis.com/es/region-caribe/,Santa Marta,Excursión a Playa Cristal,"56.155,20 CL$",136 opiniones,Civitatis,2025-12-30 19:26
CLP,https://www.civitatis.com/es/region-caribe/,Cartagena de Indias,Autobús turístico de Cartagena,"17.531,21 CL$",297 opiniones,Civitatis,2025-12-30 19:26
CLP,https://www.civitatis.com/es/region-caribe/,Santa Marta,Excursión a Playa Blanca y Mundo Marino,"75.744,23 CL$",35 opiniones,Civitatis,2025-12-30 19:26
CLP,https://www.civitatis.com/es/region-caribe/,Cartagena de Indias,Free tour de Gabriel García Márquez,¡Gratis!,255 opiniones,Civitatis,2025-12-30 19:26
CLP,https://www.civitatis.com/es/region-caribe/,Santa Marta,Excursión a las playas Cinto y Cristal,"79.662,03 CL$",29 opiniones,Civitatis,2025-12-30 19:26
CLP,https://www.civitatis.com/es/region-caribe/,Santa Marta,"Excursión a Playa Grande, Pozo Azul de Minca y Taganga","39.178,05 CL$",21 opiniones,Civitatis,2025-12-30 19:26
CLP,https://www.civitatis.com/es/region-caribe/,Varios destinos,Excursión a las islas de San Bernardo,"51.976,21 CL$",6 opiniones,Civitatis,2025-12-30 19:26
CLP,https://www.civitatis.com/es/region-caribe/,Santa Marta,Excursión a Cartagena,"151.018,33 CL$",4 opiniones,Civitatis,2025-12-30 19:26
CLP,https://www.civitatis.com/es/region-caribe/,Cartagena de Indias,Excursión a Playa Tranquila,"39.178,05 CL$",98 opiniones,Civitatis,2025-12-30 19:26
CLP,https://www.civitatis.com/es/region-caribe/,Cartagena de Indias,Free tour gastronómico por Cartagena,¡Gratis!,313 opiniones,Civitatis,2025-12-30 19:26
CLP,https://www.civitatis.com/es/region-caribe/,Santa Marta,Senderismo por la Selva de Minca + Visita a una finca de café,"75.744,23 CL$",48 opiniones,Civitatis,2025-12-30 19:26
CLP,https://www.civitatis.com/es/region-caribe/,Santa Marta,Paseo en velero por la bahía de Taganga,"39.178,05 CL$",8 opiniones,Civitatis,2025-12-30 19:27
CLP,https://www.civitatis.com/es/region-caribe/,Santa Marta,Seawalker en Santa Marta,"41.789,92 CL$",13 opiniones,Civitatis,2025-12-30 19:27
CLP,https://www.civitatis.com/es/region-caribe/,Cartagena de Indias,Free tour por Getsemaní y el Castillo San Felipe de Barajas,¡Gratis!,31 opiniones,Civitatis,2025-12-30 19:27
CLP,https://www.civitatis.com/es/region-caribe/,Santa Marta,Free tour de los misterios y leyendas de Santa Marta,¡Gratis!,7 opiniones,Civitatis,2025-12-30 19:27
CLP,https://www.civitatis.com/es/region-caribe/,Santa Marta,Excursión a Taganga y Playa Grande,"33.954,31 CL$",30 opiniones,Civitatis,2025-12-30 19:27
CLP,https://www.civitatis.com/es/region-caribe/,Santa Marta,Trekking de 4 o 5 días por la Ciudad Perdida,"485.807,84 CL$",33 opiniones,Civitatis,2025-12-30 19:27
CLP,https://www.civitatis.com/es/region-caribe/,Santa Marta,Excursión al río Buritaca,"31.342,44 CL$",Sin valorar,Civitatis,2025-12-30 19:27
CLP,https://www.civitatis.com/es/region-caribe/,Santa Marta,Tour en chiva rumbera por Santa Marta,"14.365,28 CL$",Sin valorar,Civitatis,2025-12-30 19:27
CLP,https://www.civitatis.com/es/region-caribe/,Cartagena de Indias,Excursión a San Basilio de Palenque,"99.224,94 CL$",47									opiniones,Civitatis,2025-12-30 19:27
CLP,https://www.civitatis.com/es/region-caribe/,Varios destinos,Excursión a la isla Palma,"117.534,15 CL$",2									opiniones,Civitatis,2025-12-30 19:27
CLP,https://www.civitatis.com/es/region-caribe/,Cartagena de Indias,Excursión privada desde Cartagena de Indias,"261.187,01 CL$",5 opiniones,Civitatis,2025-12-30 19:27
CLP,https://www.civitatis.com/es/region-caribe/,Santiago de Tolú,Tour de la cultura zenú,"52.237,40 CL$",1									opinión,Civitatis,2025-12-30 19:27
CLP,https://www.civitatis.com/es/region-caribe/,Santa Marta,Tour de 4 o 5 días por el Caribe colombiano,"483.195,97 CL$",Sin valorar,Civitatis,2025-12-30 19:27
CLP,https://www.civitatis.com/es/region-caribe/,Varios destinos,Centro de Conservación del Caimán de Aguja + Playa Blanca de San Antero,"65.296,75 CL$",Sin valorar,Civitatis,2025-12-30 19:27
CLP,https://www.civitatis.com/es/region-caribe/,Santa Marta,Tour en bicicleta por Santa Marta,"16.977,15 CL$",Sin valorar,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-caribe/,Cartagena de Indias,"Excursión a Bora Bora Beach, Islabela y Pao Pao Beach","109.698,54 CL$",97									opiniones,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-del-amazonas/,Leticia,Tour de 4 días por Puerto Nariño y Mocagua,"279.470,10 CL$",52 opiniones,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-del-amazonas/,Leticia,Tour de 3 días por la selva amazónica,"342.807,95 CL$",13 opiniones,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-del-amazonas/,Leticia,Tour de aventura en la Reserva Natural Tanimboca,"32.648,37 CL$",5 opiniones,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-del-amazonas/,Leticia,"Tour de 5 días por Puerto Nariño, Mocagua y Amacayacu","315.252,72 CL$",27 opiniones,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-del-amazonas/,Leticia,Excursión de 2 días a la Reserva Natural Marasha,"148.876,59 CL$",7 opiniones,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-del-amazonas/,Puerto Nariño,Senderismo por el Parque Natural Amacayacu,"20.894,96 CL$",8 opiniones,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-del-amazonas/,Puerto Nariño,Paseo en barca por los lagos de Tarapoto,"30.036,50 CL$",9 opiniones,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-del-amazonas/,Leticia,Excursión a Puerto Nariño,"78.356,10 CL$",10 opiniones,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-del-amazonas/,Puerto Nariño,Excursión a la isla Cacao y visita a la comunidad de San Antonio,"22.200,89 CL$",4 opiniones,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-del-amazonas/,Leticia,Excursión de 2 días al lago Piraña,"169.771,55 CL$",3 opiniones,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-del-amazonas/,Puerto Nariño,Excursión al santuario de monos de Mocagua,"45.707,72 CL$",2 opiniones,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-del-amazonas/,Leticia,Excursión a Tabatinga + Parque Santander,"28.730,57 CL$",5 opiniones,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-del-amazonas/,Leticia,Senderismo nocturno por el Amazonas,"37.872,11 CL$",4 opiniones,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-del-amazonas/,Leticia,Excursión a una maloca indígena de Puerto Nariño en barco,"24.812,76 CL$",4 opiniones,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-del-amazonas/,Leticia,Senderismo por la selva amazónica,"122.496,70 CL$",2 opiniones,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-del-amazonas/,Leticia,Excursión a la selva amazónica,"62.684,88 CL$",1 opinión,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-del-amazonas/,Leticia,Kayak + Rápel y tirolina en Leticia,"58.767,07 CL$",5 opiniones,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-del-amazonas/,Leticia,Tour privado por Leticia,"188.054,64 CL$",Sin valorar,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-del-amazonas/,Puerto Nariño,Senderismo por la selva amazónica + Comunidad de Santa Teresita,"19.589,02 CL$",Sin valorar,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-del-amazonas/,Leticia,Tubing en el río Tacana,"36.566,18 CL$",Sin valorar,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-del-amazonas/,Leticia,Noche en la Reserva Natural Tanimboca,"91.415,45 CL$",4 opiniones,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-del-amazonas/,Puerto Nariño,Senderismo nocturno por la selva amazónica,"18.283,09 CL$",5 opiniones,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-del-amazonas/,Puerto Nariño,Noche en la selva amazónica,"39.178,05 CL$",Sin valorar,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-del-amazonas/,Leticia,"Reserva Natura Park en 3, 4, 5 o 6 días","250.739,53 CL$",1 opinión,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-del-amazonas/,Leticia,Excursión de 1 o 2 días a una maloca del Amazonas,"73.132,36 CL$",2 opiniones,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-del-amazonas/,Leticia,Excursión a la Reserva Natural Marasha,"143.652,85 CL$",4 opiniones,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-del-amazonas/,Leticia,Tour por la selva amazónica y el río Takana,"48.319,59 CL$",Sin valorar,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-del-amazonas/,Leticia,Tour de las tres fronteras del Amazonas,"73.132,36 CL$",26 opiniones,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-del-amazonas/,Leticia,Excursión a la Reserva Natura Park,"49.625,53 CL$",1 opinión,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-insular/,San Andrés,Paseo en pontón por San Andrés,"41.789,92 CL$",54 opiniones,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-insular/,San Andrés,Bautismo de buceo en San Andrés,"47.013,66 CL$",50 opiniones,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-insular/,San Andrés,Tren turístico de San Andrés,"15.671,22 CL$",45 opiniones,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-insular/,San Andrés,Snorkel en San Andrés,"48.841,97 CL$",Sin valorar,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-insular/,San Andrés,Tour por los cayos de San Andrés,"48.405,26 CL$",48 opiniones,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-insular/,San Andrés,Alquiler de moto o buggy en San Andrés,"35.260,24 CL$",70 opiniones,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-insular/,San Andrés,Excursión a Cayo Acuario,"29.805,09 CL$",36 opiniones,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-insular/,San Andrés,Parasailing en San Andrés,"73.132,36 CL$",Novedad,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-insular/,San Andrés,Excursión a Johnny Cay,"28.521,62 CL$",17 opiniones,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-insular/,San Andrés,Paseo en semisubmarino por San Andrés,"39.700,42 CL$",1 opinión,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-insular/,San Andrés,Fiesta en el bar flotante Ibiza,"23.506,83 CL$",Sin valorar,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-insular/,Providencia,Excursión a Cayo Cangrejo,"65.296,75 CL$",2 opiniones,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-insular/,San Andrés,Crucero con cena por la bahía de San Andrés,"101.964,79 CL$",13 opiniones,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-insular/,Providencia,Snorkel en Providencia,"47.013,66 CL$",2 opiniones,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-insular/,San Andrés,Tour en chiva rumbera por San Andrés,"13.059,35 CL$",45 opiniones,Civitatis,2025-12-30 19:28
CLP,https://www.civitatis.com/es/region-insular/,San Andrés,Tour por el Museo Interactivo Pirata The Persistence,"33.954,31 CL$",Sin valorar,Civitatis,2025-12-30 19:28
