destino,actividad1,precio1,actividad2,precio2,similitud_%
Bogotá,Excursión Privada de 1 día a la Laguna de Guatavita desde Bogotá.,$132.000,Excursión a Guatapé,"142.216,29 COP",79.99
Puerto Triunfo,Tour de 1 día a la Hacienda Nápoles desde Medellín. Pasaporte Aventura.,$238.000,Tour navideño por Medellín,89.000 COP,79.61
Riosucio,City Tour por Riosucio: Un Tesoro Cultural,$50.000,Tour cultural por Villa de Leyva,95.000 COP,79.57
Bahía Solano,"Tour cascadas cerca de Bahía Solano,Choco",$74.000,Tour por Salento y Valle de Cocora,283.000 COP,79.46
Puerto Triunfo,Tour de 1 día a la Hacienda Nápoles desde Medellín. Pasaporte Safari.,$269.000,Tour panorámico por Medellín,75.000 COP,79.33
Medellín,Tour de 1 día a la Hacienda Nápoles desde Medellín. Pasaporte Safari.,$269.000,Tour panorámico por Medellín,75.000 COP,79.33
Zipaquirá,Excursión Privada a la Catedral de Sal de Zipaquirá desde Bogotá.,$230.000,Excursión a la Catedral de Sal de Zipaquirá + Andrés Carne de Res en Chía,260.000 COP,79.18
Bogotá,Excursión Privada a la Catedral de Sal de Zipaquirá desde Bogotá.,$230.000,Excursión a la Catedral de Sal de Zipaquirá + Andrés Carne de Res en Chía,260.000 COP,79.18
Bogotá,Excursión a la Laguna de Guatavita y Catedral de Sal de Zipaquirá desde Bogotá.,$300.000,Excursión a Guatapé en chiva + Visita a la hacienda La Manuela,199.000 COP,78.92
Zipaquirá,Excursión a la Laguna de Guatavita y Catedral de Sal de Zipaquirá desde Bogotá.,$300.000,Excursión a Guatapé en chiva + Visita a la hacienda La Manuela,199.000 COP,78.92
Laguna de Guatavita,Excursión a la Laguna de Guatavita y Catedral de Sal de Zipaquirá desde Bogotá.,$300.000,Excursión a Guatapé en chiva + Visita a la hacienda La Manuela,199.000 COP,78.92
Medellín,"Tour de 1 día a Jericó, Antioquia saliendo desde Medellín.",$145.000,Tour de Medellín al completo,568.000 COP,78.82
Jericó,"Tour de 1 día a Jericó, Antioquia saliendo desde Medellín.",$145.000,Tour de Medellín al completo,568.000 COP,78.82
Nemocón,Excursión de 1 día a la Mina Sal de Nemocón desde la ciudad de Bogotá.,$138.000,Tour en chiva rumbera por Bogotá,140.000 COP,78.79
Bogotá,Excursión de 1 día a la Mina Sal de Nemocón desde la ciudad de Bogotá.,$138.000,Tour en chiva rumbera por Bogotá,140.000 COP,78.79
Puerto Triunfo,Tour de 2 días a la Hacienda Nápoles + Santorini + Rio Claro,$540.000,Tour de 4 días por Puerto Nariño y Mocagua,1.070.000 COP,78.73
Medellín,Tour de 2 días a la Hacienda Nápoles + Santorini + Rio Claro,$540.000,Tour de 4 días por Puerto Nariño y Mocagua,1.070.000 COP,78.73
Manizales,Excursión Cafetera de 4 días y 3 Noches,$1.644.000,Tour de 2 días por una finca de café con spa,440.000 COP,78.53
Salento,"Trekking de un día en el Valle de Cocora, Quindío",$156.000,"Excursión privada al Valle de Cocora, Salento y Filandia",2.120.000 COP,77.79
Valle de Cocora,"Trekking de un día en el Valle de Cocora, Quindío",$156.000,"Excursión privada al Valle de Cocora, Salento y Filandia",2.120.000 COP,77.79
Dosquebradas,Pasaporte al sabor y la aventura en el Parque del Café desde Pereira,$756.000,Excursión al Parque del Café,400.000 COP,77.56
La Tatacoa,Desierto de la Tatacoa desde Manizales,$400.000,Excursión al Desierto de la Tatacoa,363.000 COP,77.47
Santa Marta,Excursión Oceanario (Centro de Vida Marina) y Playa Blanca Santa Marta – Día Completo con Almuerzo,$144.000,Paseo en barco por las playas de Santa Marta + Isla Pelícano,250.000 COP,76.61
Pereira,Excursión a Salento y Valle de Cocora desde la ciudad de Pereira.,$200.000,Tour por Salento y Valle de Cocora,283.000 COP,76.58
Valle de Cocora,Excursión a Salento y Valle de Cocora desde la ciudad de Pereira.,$200.000,Tour por Salento y Valle de Cocora,283.000 COP,76.58
Salento,Excursión a Salento y Valle de Cocora desde la ciudad de Pereira.,$200.000,Tour por Salento y Valle de Cocora,283.000 COP,76.58
Bahía Solano,Tour privado: Avistamiento de Ballenas en Bahía Solano,$2.200.000,Tour por los escenarios de Encanto en Barichara,365.000 COP,76.54
