moneda,pais,destino,actividad,precio_desde_original,precio_real,opiniones,viajeros,url_fuente,fuente,fecha_scan
CLP,Chile,Valparaíso,Senderismo por el Parque Nacional La Campana,,61.250 CL$,3 opiniones,11 viajeros,https://www.civitatis.com/es/valparaiso/senderismo-parque-campana/,Civitatis,2026-02-02 16:05
CLP,Chile,Valparaíso,Tour gastronómico por Valparaíso,,45.000 CL$,3 opiniones,22 viajeros,https://www.civitatis.com/es/valparaiso/tour-gastronomico-valparaiso/,Civitatis,2026-02-02 16:05
CLP,Chile,Valparaíso,Tour por Valparaíso para cruceros,,60.000 CL$,1 opinión,9 viajeros,https://www.civitatis.com/es/valparaiso/tour-valparaiso-cruceros/,Civitatis,2026-02-02 16:05
CLP,Chile,Valparaíso,Tour por el Valparaíso alternativo,,30.000 CL$,2 opiniones,6 viajeros,https://www.civitatis.com/es/valparaiso/tour-valparaiso-alternativo/,Civitatis,2026-02-02 16:05
CLP,Chile,Valparaíso,Visita a una bodega del Valle de Casablanca,,"138.212,46 CL$",Novedad,1 viajero,https://www.civitatis.com/es/valparaiso/visita-bodega-valle-casablanca/,Civitatis,2026-02-02 16:05
CLP,Chile,Valparaíso,Tour por el Parque Nacional La Campana con 2 noches de alojamiento,,158.000 CL$,Sin valorar,,https://www.civitatis.com/es/valparaiso/tour-parque-campana/,Civitatis,2026-02-02 16:05
CLP,Chile,Valparaíso,Visita guiada por Valparaíso + Paseo en trolebús,,30.000 CL$,Sin valorar,,https://www.civitatis.com/es/valparaiso/visita-guiada-valparaiso-paseo-trolebus/,Civitatis,2026-02-02 16:05
CLP,Chile,Valparaíso,Tour de la música por Valparaíso,,50.000 CL$,Sin valorar,,https://www.civitatis.com/es/valparaiso/tour-musica-valparaiso/,Civitatis,2026-02-02 16:05
CLP,Chile,Valparaíso,Tour por la costa norte de Valparaíso,,150.000 CL$,Sin valorar,6 viajeros,https://www.civitatis.com/es/valparaiso/tour-costa-norte-valparaiso/,Civitatis,2026-02-02 16:05
CLP,Chile,Valparaíso,Tour de la cerveza por Valparaíso,,40.000 CL$,Sin valorar,,https://www.civitatis.com/es/valparaiso/tour-cerveza-valparaiso/,Civitatis,2026-02-02 16:05
CLP,Chile,Puerto Varas,"Isla de Chiloé: Chacao, Ancud y pingüinos de Puñihuil",,45.000 CL$,29 opiniones,431 viajeros,https://www.civitatis.com/es/puerto-varas/tour-pinguinos-chiloe/,Civitatis,2026-02-02 16:05
CLP,Chile,Puerto Varas,Tour por Puerto Varas y Puerto Montt,,27.694 CL$,34 opiniones,604 viajeros,https://www.civitatis.com/es/puerto-varas/tour-puerto-varas-puerto-montt/,Civitatis,2026-02-02 16:05
CLP,Chile,Puerto Varas,"Excursión a Chacao, Ancud y las playas de Chiloé",,56.094 CL$,10 opiniones,176 viajeros,https://www.civitatis.com/es/puerto-varas/tour-ancud-chiloe/,Civitatis,2026-02-02 16:05
CLP,Chile,Puerto Varas,"Isla de Chiloé: Chacao, Castro y Dalcahue",,45.000 CL$,116 opiniones,926 viajeros,https://www.civitatis.com/es/puerto-varas/excursion-isla-chiloe/,Civitatis,2026-02-02 16:05
CLP,Chile,Puerto Varas,Excursión a los Saltos de Petrohué y volcán Osorno,,35.000 CL$,151 opiniones,1.642 viajeros,https://www.civitatis.com/es/puerto-varas/excursion-saltos-petrohue-volcan-osorno/,Civitatis,2026-02-02 16:05
CLP,Chile,Puerto Varas,Cruce andino por los lagos de la cordillera de los Andes,,"235.882,60 CL$",30 opiniones,538 viajeros,https://www.civitatis.com/es/puerto-varas/cruce-andino-lagos/,Civitatis,2026-02-02 16:05
CLP,Chile,Puerto Varas,Tour por el lago Todos los Santos y Villa Peulla,,31.000 CL$,71 opiniones,733 viajeros,https://www.civitatis.com/es/puerto-varas/tour-lago-todos-santos/,Civitatis,2026-02-02 16:05
CLP,Chile,Puerto Varas,Excursión a Frutillar,,25.000 CL$,26 opiniones,402 viajeros,https://www.civitatis.com/es/puerto-varas/excursion-frutillar-puerto-octay/,Civitatis,2026-02-02 16:05
CLP,Chile,Puerto Varas,Excursión a Cochamó y Termas del Sol,,40.000 CL$,35 opiniones,356 viajeros,https://www.civitatis.com/es/puerto-varas/excursion-cochamo-termas-sol/,Civitatis,2026-02-02 16:05
CLP,Chile,Puerto Varas,Excursión privada desde Puerto Varas,,177.586 CL$,2 opiniones,95 viajeros,https://www.civitatis.com/es/puerto-varas/excursion-privada-puerto-varas/,Civitatis,2026-02-02 16:05
CLP,Chile,Puerto Varas,Tour por los pueblos de la Carretera Austral,,42.000 CL$,18 opiniones,286 viajeros,https://www.civitatis.com/es/puerto-varas/tour-pueblos-carretera-austral/,Civitatis,2026-02-02 16:05
CLP,Chile,Puerto Varas,Tarjeta eSIM Civitatis Chile,,"4.607,08 CL$",41 opiniones,821 viajeros,https://www.civitatis.com/es/tarjeta-esim-chile/,Civitatis,2026-02-02 16:05
CLP,Chile,Puerto Varas,Tour por los pueblos del lago Llanquihue,,45.000 CL$,28 opiniones,316 viajeros,https://www.civitatis.com/es/puerto-varas/tour-lago-llanquihue/,Civitatis,2026-02-02 16:05
